Date,disaster_type,Incident_Count,Location,Severity_Index
21/6/2022,FLOOD,1,"ASEMASA,AKATENCHIE,ACHOWAI,TIGARI,AHUNTUMAN",1
2022-06-15 00:00:00,FLOOD,1,"Apowa, Beahu, New Amanful, Funko, Kejebil",1
2022-09-09 00:00:00,DOMESTIC FIRE,1,EWUSIEDJOE,1
13/9/2022,FLOOD,1,DAMTI,1
24/9/2022,FLOOD,1,BEAHU,1
29/11/2022,DOMESTIC FIRE,1,ADAANSE,1
20/01/2022,DOMESTIC FIRE,1,MPOHOR,1
15/03/2022,WINDSTORM,3,"MPOHOYABEW,OBRAYEBONA,TREBUO",1
16/03/2022,WINDSTORM,1,OBRAYEBONA,1
16/03/2022,INSECT/PESTICIDE,1,MPOHOR,1
